,DateTime,Price,Откр.,Макс.,Мин.,Объём,Изм. %
0,2023-08-31,6830.0,"6.858,5","6.875,0","6.788,0","822,17K","-0,10%"
1,2023-08-30,6837.0,"6.789,0","6.900,0","6.760,0","2,16M","0,85%"
2,2023-08-29,6779.5,"6.673,5","6.780,0","6.636,0","1,94M","1,76%"
3,2023-08-28,6662.0,"6.570,5","6.665,0","6.560,0","913,84K","1,46%"
4,2023-08-25,6566.0,"6.562,5","6.592,5","6.513,5","764,29K","0,07%"
5,2023-08-24,6561.5,"6.497,5","6.571,5","6.432,0","1,24M","2,32%"
6,2023-08-23,6412.5,"6.632,0","6.654,0","6.364,0","2,95M","-2,94%"
7,2023-08-22,6606.5,"6.265,5","6.677,0","6.216,5","5,30M","5,44%"
8,2023-08-21,6265.5,"6.295,0","6.338,0","6.237,0","1,19M","-0,19%"
9,2023-08-18,6277.5,"6.167,0","6.285,0","6.122,5","918,71K","1,87%"
10,2023-08-17,6162.0,"6.160,0","6.167,0","6.062,0","900,51K","1,11%"
11,2023-08-16,6094.5,"6.156,5","6.198,0","5.990,5","1,99M","-0,60%"
12,2023-08-15,6131.5,"6.089,5","6.290,0","6.008,0","2,28M","0,07%"
13,2023-08-14,6127.5,"6.322,0","6.428,0","6.011,5","3,04M","-2,50%"
14,2023-11-08,6284.5,"6.265,0","6.287,0","6.205,0","788,92K","0,52%"
15,2023-10-08,6252.0,"6.185,0","6.258,0","6.155,0","1,02M","1,30%"
16,2023-09-08,6171.5,"6.130,0","6.185,0","6.073,0","941,05K","0,77%"
17,2023-08-08,6124.5,"6.040,0","6.135,0","5.925,0","1,55M","1,26%"
18,2023-07-08,6048.5,"6.177,0","6.210,0","5.975,0","1,41M","-0,89%"
19,2023-04-08,6103.0,"6.170,0","6.270,0","5.951,5","2,84M","-0,84%"
20,2023-03-08,6155.0,"6.066,0","6.168,0","6.040,0","999,74K","1,41%"
21,2023-02-08,6069.5,"6.008,0","6.123,0","5.960,0","1,32M","1,02%"
22,2023-01-08,6008.0,"5.940,5","6.049,0","5.883,0","1,34M","1,18%"
23,2023-07-31,5938.0,"5.952,5","5.999,5","5.905,5","1,56M","0,71%"
24,2023-07-28,5896.0,"5.679,0","5.917,0","5.654,5","1,87M","4,02%"
25,2023-07-27,5668.0,"5.638,0","5.678,0","5.637,5","633,92K","0,75%"
26,2023-07-26,5626.0,"5.636,0","5.665,5","5.591,0","763,97K","-0,13%"
27,2023-07-25,5633.5,"5.555,5","5.649,5","5.532,5","1,22M","1,59%"
28,2023-07-24,5545.5,"5.508,0","5.554,0","5.491,0","626,21K","0,74%"
29,2023-07-21,5505.0,"5.410,0","5.505,0","5.397,5","643,48K","2,06%"
30,2023-07-20,5394.0,"5.518,0","5.520,0","5.381,0","864,11K","-2,25%"
31,2023-07-19,5518.0,"5.541,0","5.568,0","5.495,0","610,88K","-0,35%"
32,2023-07-18,5537.5,"5.514,5","5.585,0","5.481,0","1,15M","0,63%"
33,2023-07-17,5503.0,"5.490,0","5.535,0","5.462,5","767,65K","-0,20%"
34,2023-07-14,5514.0,"5.488,0","5.550,0","5.450,0","792,18K","0,29%"
35,2023-07-13,5498.0,"5.531,0","5.549,5","5.461,0","721,19K","-0,04%"
36,2023-12-07,5500.0,"5.442,0","5.535,0","5.377,5","1,23M","1,12%"
37,2023-11-07,5439.0,"5.440,5","5.449,5","5.366,5","691,23K","0,06%"
38,2023-10-07,5436.0,"5.475,5","5.505,5","5.404,0","1,10M","-0,06%"
39,2023-07-07,5439.5,"5.362,0","5.446,5","5.326,0","1,30M","1,73%"
40,2023-06-07,5347.0,"5.320,0","5.390,0","5.304,0","1,41M","0,92%"
41,2023-05-07,5298.5,"5.225,0","5.311,0","5.221,5","1,21M","1,72%"
42,2023-04-07,5209.0,"5.110,0","5.260,0","5.082,0","1,47M","2,23%"
